EGI-257 Label,10-20 Label,distance
E71,C5,0.0021723141162058555
E144,C2,0.003958590569871482
E181,C6,0.004654082448997918
E222,F6,0.004755324121371686
E53,C1,0.005042072464710868
E57,FC5,0.005651143231515238
E55,F7,0.0058226782938573095
E204,FC6,0.006066279625135009
E221,F8,0.006106096897163143
E10,AF8,0.006199013984407373
E226,F10,0.006340157521946348
E252,F9,0.006637506239929194
E51,FC3,0.007098501180079755
E46,AF7,0.007390857318397357
E74,T7,0.007649668556535339
E48,F5,0.0077761755370864
E211,FT8,0.007785062402007739
E196,FC4,0.0077856598129685236
E62,FT7,0.00804686512346969
E8,FCz,0.0084563017332466
E192,T8,0.00884730887594224
E164,C4,0.00968704297379416
E66,C3,0.009725268887210078
E11,AF6,0.009923876618817544
Cz,Cz,0.010202381732938354
E15,Fz,0.010477671810989866
E38,AF5,0.011220715192916389
E224,F4,0.011283583078864453
E36,F3,0.011532312469103821
E78,CP3,0.011831161977926535
E197,FC2,0.012055731932707463
E23,F1,0.01219997903435385
E12,AF4,0.012311548602474765
E67,FT9,0.012362286055045479
E219,FT10,0.01251093265864028
E17,FC1,0.012594288937720858
E18,Fp2,0.013272790268371882
E6,F2,0.013392739493781948
E76,CP5,0.013422284854623748
E154,CP4,0.01376158008408552
E34,AF3,0.013879749241453368
E84,TP7,0.01418622200106758
E37,Fp1,0.014233100191322073
E179,TP8,0.01443257721286191
E90,CPz,0.014453453285710521
E13,AF2,0.014901610972285617
E172,CP6,0.015084009974684922
E28,AF1,0.015721840394476664
E89,CP1,0.015969608314463455
E21,AFz,0.01623890561424511
E161,P6,0.016438422274856337
E97,P5,0.016533017147870505
E143,CP2,0.017135740722097826
E101,Pz,0.017292326218134823
E170,P8,0.01812461692952382
E118,PO1,0.01822418324962363
E96,P7,0.018234298644601805
E127,PO2,0.018625141731116256
E94,TP9,0.01939120123230431
E209,A2,0.019421411018827144
E92,A1,0.019699532521805275
E105,P9,0.019800465827494913
E234,AF10,0.01999532625241275
E190,TP10,0.020001170682923716
E108,PO5,0.020098794080874668
E100,P1,0.020352838838339295
E99,P3,0.02036629972211459
E151,PO6,0.020642891456170633
E244,AF9,0.020795305437971295
E177,P10,0.020825344019431372
E26,Fpz,0.021025357892132675
E109,PO3,0.02118684084238608
E140,PO4,0.021420616325246826
E150,O2,0.021822676888199822
E138,Oz,0.02188092967048883
E152,P4,0.021940232458662345
E129,P2,0.022066647321391727
E116,O1,0.022142878811792686
E119,POz,0.02225074926760326
E157,O10,0.022446797798397256
E135,O9,0.022760331701439988
E115,PO7,0.0227702396047136
E159,PO8,0.02330151476728618
E122,PO9,0.023547703554846162
E167,PO10,0.023621475978605443
E200,M2,0.02433872030554636
E103,M1,0.024611153370087006
E148,Iz,0.02506719512310459
